Course Code,Title,Credits,Attributes,Description,Typically Offered,Sections
LING-L 590,LINGUISTIC STRUCTURE,3 credits,,"Analysis of particular aspects of the structure of a language or of a group of closely related languages. Methods used may include text analysis, informant work, study of secondary sources, lectures, reports.","Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | WH 104 | Malgorzata Cavar | 5/5
Waitlist 0"
LING-L 615,CORPUS LINGUISTICS,3 credits,,"Advances in computer technology have revolutionized the ways linguists can approach their data. By using computers, we can access large bodies of text (corpora) and search for phenomena. The course will give an introduction to the methodology and applications in the field.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
3:55 PM–5:10 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 229 | Shobhana Chelliah | 3/10
Waitlist 0"
LING-L 635,APPLICATIONS OF SPEECH PROCESSING,3 credits,,"This course explores advanced topics and current trends in speech processing, focusing on applications in areas such as speech recognition, synthesis, and speech enhancement. The course will cover both theoretical foundations and practical implementation aspects, including recent advances in machine learning and deep learning as applied to speech processing.",Spring,"Class #: Open | TuTh
Tuesday, Thursday
5:30 PM–6:45 PM
Regular Academic Session
8/25/2025–12/19/2025 | FA 004 | Shuju Shi | 12/20
Waitlist 0"
LING-L 636,PIDGINS AND CREOLES,3 credits,,"Survey of the field of pidgin and creole linguistics; presentational of the structure of selected prototypical pidgins and creoles; review of the theories for the genesis of creoles and their relationship to current issues in language acquisition and historical linguistics; discussion of language planning issues specific to pidgins and creoles, as well as discussion of current issues.",Fall,"Class #: Closed | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | SY 200 | Kevin Rottet | 0/10
Waitlist 0"
LING-L 645,ADVANCED NATURAL LANGUAGE PROCESSING,3 credits,,"An introduction to statistical models and machine learning paradigms in NLP. Covers basic notions in probability and information theory, focusing on the concepts needed for NLP, including Markov Models. Additional topics may include word sense disambiguation, text categorization, and statistical alignment methods and their use in machine translation.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | IF 0119 | Damir Cavar | 10/20
Waitlist 0"
LING-L 646,ADVANCED SEMANTICS,3 credits,,"Focus on advanced topics in the principles of compositional interpretation and their use in analyzing truth-conditional aspects of natural language phrases and sentences. Specific topics may include event semantics, tense, and aspect; modality; nominal and pronominal expressions; questions; and cross-linguistic semantics.",Fall,"Class #: Open | TuTh
Tuesday, Thursday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 313 | Thomas Grano | 13/25
Waitlist 0"
LING-L 653,FIELD METHODS IN LINGUISTICS 1,3 credits,,Techniques of data collection and analysis based on work with a native speaker of a language unknown to the students.,Fall,"Class #: Open | MW
Monday, Wednesday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | BH 240 | Samuel Obeng | 8/10
Waitlist 0"
LING-L 665,APPLYING MACHINE LEARNING TECHNIQUES IN COMPUTATIONAL LINGUISTICS,3 credits,,Introduction to major algorithms in Machine Learning (ML) as well as applications of these techniques to a wide range of CL topics. Course includes an introduction to CL and to W focused on supervised algorithms: decision trees and rule learning. Also considered are applications of ML algorithms to CL problems.,"Summer, Fall","Class #: Open | MW
Monday, Wednesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | IF 0119 | Luke Gessler | 13/15
Waitlist 0"
LING-L 690,ADVANCED READINGS IN LINGUISTICS,1–4 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Ann Bunger | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Monica Nesbitt | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Stuart Davis | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Kenneth De Jong | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Francis Tyers | 9/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Thomas Grano | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Emily Hanink | 9/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Sandra Kuebler | 6/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Samuel Obeng | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Malgorzata Cavar | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Barbara Vance | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Kelly Berkson | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Damir Cavar | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Shobhana Chelliah | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Luke Gessler | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Shuju Shi | 10/10
Waitlist 0"
LING-L 695,M. A. THESIS RESEARCH,1–4 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Sandra Kuebler | 5/5
Waitlist 0"
LING-L 700,SEMINAR ON CURRENT ISSUES,1–4 credits,,This seminar will deal with major books and articles which have defined important areas of debate in the current development of linguistic theory. The specific title will be announced well in advance of each semester.,"Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 240 | Shobhana Chelliah | 15/20
Waitlist 0"
LING-L 715,SEMINAR IN COMPUTATIONAL LINGUISTICS,3 credits,,The seminar will introduce students to current research in the field of Computational Linguistics.,"Summer, Fall","Class #: Open | TuTh
Tuesday, Thursday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 221 | Damir Cavar | 14/15
Waitlist 0"
LING-L 720,SEMINAR IN SOCIOLINGUISTICS,3 credits,,,Fall,"Class #: Open | TuTh
Tuesday, Thursday
2:20 PM–3:35 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 317 | Monica Nesbitt | 10/15
Waitlist 0"
LING-L 800,RESEARCH,1–12 credits,,,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Sandra Kuebler | 37/40
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Sandra Kuebler | 40/40
Waitlist 0"
LING-X 471,UNDERGRADUATE TEACHING INTERNSHIP IN LINGUISTICS,1–3 credits,,"Students assist a faculty member in preparation and/or implementation of an undergraduate Linguistics course. Duties may include developing course materials, assisting with classroom activities and instruction, peer tutoring, and more. Interns do not participate in grading.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Ann Bunger | 7/10
Waitlist 0"
LING-X 473,INTERNSHIP IN LINGUISTICS,1–3 credits,,"Students work on extracurricular projects in the context of an industrial setting, a non-profit institution, or a laboratory setting. Projects must be related to issues of language structure or use, including research and application.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Ann Bunger | 10/10
Waitlist 0"
LING-X 477,FIELD EXPERIENCE IN LINGUISTICS,1–3 credits,,"Students work on extracurricular projects in the area of language documentation. Projects may be carried out in a language community, in an academic setting, or in the context of a non-profit institution.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Ann Bunger | 20/20
Waitlist 0"
LING-X 490,READINGS IN LINGUISTICS,1–4 credits,,Directed reading in various fields of linguistics.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Shobhana Chelliah | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Francis Tyers | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Emily Hanink | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Stuart Davis | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Kenneth De Jong | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Damir Cavar | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Thomas Grano | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Monica Nesbitt | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Barbara Vance | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Sandra Kuebler | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Samuel Obeng | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Malgorzata Cavar | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Ann Bunger | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Kelly Berkson | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Shuju Shi | 10/10
Waitlist 0
Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Luke Gessler | 10/10
Waitlist 0"
LLLC-Y 101,TECHNOLOGY LEADERSHIP AND INNOVATION I,1.5 credits,,"This course will focus on developing student leaders by providing resources and tools to empower them in setting goals, teamwork, communication, and decision-making skills. Students will have an opportunity to interact and develop relationships with School of Informatics and Computing faculty, staff, alumni, upper class students, and conduct research.",Fall,"Class #: Open | M
Monday
11:10 AM–12:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | TE F160 | Nicole Mitchell | 18/60
Waitlist 0
Class #: Open | Tu
Tuesday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | TE F160 | Nicole Mitchell | 15/60
Waitlist 0
Class #: Open | Tu
Tuesday
12:45 PM–2:00 PM
Regular Academic Session
8/25/2025–12/19/2025 | TE F160 | Nicole Mitchell | 20/60
Waitlist 0
Class #: Open | M
Monday
9:35 AM–10:50 AM
Regular Academic Session
8/25/2025–12/19/2025 | TE F160 | Nicole Mitchell | 28/60
Waitlist 0"
LSTU-L 100,SURVEY OF UNIONS AND COLLECTIVE BARGAINING,3 credits,,"A survey of labor unions in the United States, focusing on their organization and their representational, economic and political activities. Includes coverage of historical development, labor law basics, and contemporary issues.","Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Varga | 26/34
Waitlist 0"
LSTU-L 101,AMERICAN LABOR HISTORY,3 credits,IUB GenEd S&H credit (166),"A survey of the origin and development of unions and the labor movement from colonial times to the present. The struggle of working people to achieve a measure of dignity and security will be examined from social, economic and political perspectives.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Joseph Varga | 14/34
Waitlist 0"
LSTU-L 104,INTRODUCTION TO THE STUDY OF LABOR HISTORY,3 credits,,"What can be learned from labor history?  This class explores both central issues as well as historical methodologies looking at primary and secondary sources, considering bias and interpretation.  Focusing on a few central questions and events, this class serves as an orientation for the study of labor history.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Joseph Varga | 31/35
Waitlist 0"
LSTU-L 110,INTRODUCTION TO LABOR STUDIES: LABOR AND SOCIETY,3 credits,IUB GenEd S&H credit (166),"This course will introduce students to the interdisciplinary and advocacy approach of labor studies. Exploring labor's role in society, the class will look at how unions have changed the lives of working people and contributed to better social policies. Discussions will highlight the relationship of our work lives to our nonwork lives and will look at U.S. labor relations in  comparative framework.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Patricia Linner | 28/35
Waitlist 0
Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Patricia Linner | 28/35
Waitlist 0"
LSTU-L 200,SURVEY OF EMPLOYMENT LAW,3 credits,,"Statutes and common law actions protecting income, working conditions, and rights of workers. Topics include workers' compensation, unemployment compensation, fair labor standards, social security, retirement income protection, privacy and other rights.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Tyler Helmond | 32/35
Waitlist 0"
LSTU-L 203,LABOR AND THE POLITICAL SYSTEM,3 credits,,"Federal, state and local governmental effects on workers, unions, and labor-management relations; political goals; influences on union choices of strategies and modes of political participation, past and present; relationships with community and other groups.","Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Donny Jones | 32/35
Waitlist 0"
LSTU-L 205,CONTEMPORARY LABOR PROBLEMS,3 credits,,"An examination of some of the major problems confronting society, workers, and the labor movement. Topics may include: automation, unemployment, international trade and conglomerates; environmental problems, minority and women's rights; community relations; changing government policies.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Patricia Linner | 25/35
Waitlist 0"
LSTU-L 230,LABOR AND THE ECONOMY,3 credits,IUB GenEd S&H credit (166),"Analysis of the political economy of labor and the role of organized labor within it. Emphasis on the effect on workers, unions, and collective bargaining of unemployment, investment policy, and changes in technology and corporate structure. Patterns of union political and bargaining response.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Gregor Koso | 23/35
Waitlist 0"
LSTU-L 260,LEADERSHIP AND REPRESENTATION,3 credits,,"Organizational leadership issues for the union, community, and other advocate organizations. Analyzes leadership styles, membership recruitment and leadership development. Examines the role of leaders in internal governance and external affairs including committee building, delegation, negotiations, and condition building.","Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Jerell Blakeley | 21/35
Waitlist 0"
LSTU-L 271,FRAMED: LABOR AND THE MEDIA,1 credit,,"This course examines media and public understanding of the U.S. labor movement and analyzes reaction to some specific, highly publicized strikes. News media,  generally aligned with antilabor interests of corporate America, often portray ""ordinary"" workers as passive and controlled/directed by unions/labor leaders.  This course questions why that might be.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Cynthia Gwynne Yaudes | 19/20
Waitlist 0"
LSTU-L 275,PROTECTING WORKER'S RIGHTS IN GLOBAL SUPPLY CHAINS,3 credits,,"This course explores the impact of global supply chains (GSCs) on workers and their abilities to maintain adequate living standards, the regulatory frameworks under which trade, investment and taxation occur, and the strategies and tactics workers can use to create an alternative governing structure which promotes sustainable work and development within the GSC.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Cynthia Gwynne Yaudes | 35/35
Waitlist 0"
LSTU-L 280,UNION ORGANIZING,3 credits,,Explores various approaches and problems in private and public sector organizing. Traditional approaches are evaluated in light of structural changes in labor markets and workforce demographics. Topics range from targeting and assessments to committee building and leadership development.,Fall,"Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Marquita Walker | 32/35
Waitlist 0"
LSTU-L 289,WORK LIKE A GIRL: WOMEN'S EVOLVING WORKPLACE ROLE,3 credits,,"This course interrogates, through the lens of political economy theory of discrimination, the current challenges women experience in various US and global workplaces. Included are theoretical discussions concerning the historical position of women in the labor force, the changing landscape of female workforce participation, and the intersection of work dynamics within the context of race, class, and gender. Issues of specific interest are wage disparities, job insecurity, and sexual harassment.  An examination of strategies, programs, and initiatives to correct gender disparities and create inclusive workplaces follows.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Beverly Takahashi | 22/35
Waitlist 0"
LSTU-L 290,TOPICS IN LABOR STUDIES,1–3 credits,,"This is a number under which a variety of topics can be addressed in classroom-based programs on the campuses. Courses may focus on contemporary or special areas of labor studies, such as union education: others are directed toward specific categories of employees and labor organizations.","Summer, Fall","Class #: Closed | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | William Mello | 0/0
Waitlist 0"
LSTU-L 290,"LATINOS, LABOR & MIGRATION: US (TOPICS IN LABOR STUDIES)",1–3 credits,,"This is a number under which a variety of topics can be addressed in classroom-based programs on the campuses. Courses may focus on contemporary or special areas of labor studies, such as union education: others are directed toward specific categories of employees and labor organizations.","Summer, Fall","Class #: Closed | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | William Mello | 0/0
Waitlist 0"
LSTU-L 290,DIVERSITY AND INEQUALITY IN AMERICA (TOPICS IN LABOR STUDIES),1–3 credits,,"This is a number under which a variety of topics can be addressed in classroom-based programs on the campuses. Courses may focus on contemporary or special areas of labor studies, such as union education: others are directed toward specific categories of employees and labor organizations.","Summer, Fall","Class #: Closed | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | William Mello | 0/0
Waitlist 0"
LSTU-L 291,THE BULLY IN THE WORKPLACE,1 credit,,"This one (1) credit will examine the dynamics of workplace bullying.  We will analyze the factors that contribute to bullying in the workplace. We will examine the types of personalities that allows bullies to perpetrate the harm and how bullies threaten, intimidate, humiliate, and sabotage both targets and workplace productivity.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Patricia Linner | 26/35
Waitlist 0"
LSTU-L 292,PREVENTING SEXUAL HARASSMENT IN THE WORKPLACE,1 credit,,"This course examines all aspects of workplace and academic sexual harassment, including but not limited to definitions, history, federal and state law, EEOC guidelines and procedures, employer and school liability, personnel, school and contract language and policies, and personal perspectives.  Reasons for/solutions to workplace and academic sexual harassment are discussed.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Patricia Linner | 28/35
Waitlist 0"
LSTU-L 294,STAFFING AS A SAFETY ISSUE,3 credits,,"Health Care Staffing and Total Worker Health explores the theory and practice of workforce staffing in health care considering the impact of health care management decisions related to staffing on quality of care for patients and occupational health for workers.  Theoretical perspectives, research, union contracts and definitional constructs are examined/discussed.","Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 32/35
Waitlist 0"
LSTU-L 296,PREVENTING WORKFORCE VIOLENCE IN THE WORKPLACE,1 credit,,"This course will examine the causes, preventions, and individual risks for workers from the real/perceived threat of violence in the workplace.  We will identify behavioral, environmental, and administrative factors that contribute or prevent the incidents of violence in the workplace.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Patricia Linner | 35/35
Waitlist 0"
LSTU-L 297,STRIKE! LABOR REVOLT IN AMERICA,1 credit,,"This course explores strike as a mechanism of worker power and worker threat in American culture. Through readings and discussion, the unequal balance of power between labor/management is the backdrop for worker action necessitated by the inadequacy of protective worker legislative/deregulation/continued corporate assaults on workers and their well-being.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Cynthia Gwynne Yaudes | 35/35
Waitlist 0"
LSTU-L 298,AMERICAN DREAM IN THE AGE OF DECLINE,3 credits,,American Dream in the Age of Decline is the interdisciplinary exploration of frameworks within which the notion of the American Dream has been constructed and changed over time in relation to the working class.,"Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Patrick Hill | 29/35
Waitlist 0"
LSTU-L 314,ETHICAL DILEMMAS IN THE WORKPLACE,3 credits,,"The course explores the fundamental basis for ethical decision making in a workplace, both unionized and nonunionized. We will discuss specific considerations for making moral judgments within the work environment and explore the basis upon which those decisions are made.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Darren Cushman-Wood | 24/35
Waitlist 0"
LSTU-L 315,THE ORGANIZATION OF WORK,3 credits,,"Examines how work is organized and jobs are evaluated, measured and controlled. Explores social and technical elements of work through theories of scientific management, the human relations school of management, and contemporary labor process literature.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Gregor Koso | 30/35
Waitlist 0"
LSTU-L 320,GRIEVANCE ARBITRATION,3 credits,,"The legal and practical context of grievance arbitration, its limitations and advantages in resolving workplace problems. Varieties of arbitration clauses and the status of awards. Participants analyze, research, prepare, and present cases in mock arbitration hearings.","Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Tyler Helmond | 35/35
Waitlist 0"
LSTU-L 331,GLOBAL PROBLEMS: LOCAL SOLUTIONS,3 credits,,"The course examines local manifestations of global problems confronting society, workers, and labor by analyzing issues, creating solutions/activities to address these issues. Governmental, non-governmental, and charitable organizations that aid with local problems are examined and students design solutions for global situations characterized by flexibility, insecurity, and geographic mobility.","Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Joseph Varga | 32/35
Waitlist 0"
LSTU-L 370,LABOR AND RELIGION,3 credits,,This course has primarily a historical focus.  It looks at the relationship between religion and the labor movement as it developed in the United States over the course of the 19th and 20th centuries.  It attempts to uncover the tradition in which workers of faith have connected their religious values to their more secular concerns for social justice.,"Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Darren Cushman-Wood | 27/35
Waitlist 0"
LSTU-L 380,THEORIES OF THE LABOR MOVEMENT,3 credits,,"Perspectives on the origin, development, and goals of organized labor. Theories include those which view the labor movement as: a business union institution; an agent for social reform; a revolutionary force; a psychological reaction to industrialization; a moral force; and an unnecessary intrusion.","Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Beverly Takahashi | 32/35
Waitlist 0"
LSTU-L 381,"LATINOS, LABOR, AND MIGRATION IN THE US: CHALLENGING INVISIBILITY & DISTORTED IMAGES",3 credits,,This course introduces students to the complex realities of Latinos in the United States focusing on the topics of work and migration. This includes the U.S. recruitment of Latino immigrants and Latino's search for work whose homelands/economies are controlled/distorted/devastated to serves the interests of U.S. corporations/military actions.,"Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | William Mello | 33/35
Waitlist 0"
LSTU-L 384,DIVERSITY AND INEQUALITY IN AMERICA,3 credits,,This course examines issues of diversity and income inequality in contemporary society by exploring the underlying political debate on how to address different forms of inequality and the way this debate impacts employment and workers in the United States.,"Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | William Mello | 9/28
Waitlist 0"
LSTU-L 385,"CLASS, RACE, GENDER AND WORK",3 credits,,"Historical overview of the impact and interplay of class, race, and gender on shaping U.S. labor markets, organizations, and policies. Examines union responses and strategies for addressing class, race, and gender issues.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Armand Chevaliér | 29/35
Waitlist 0
Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Armand Chevaliér | 27/35
Waitlist 0"
LSTU-L 390,TOPICS IN LABOR STUDIES,1–3 credits,,Advanced courses in areas described under L290.,"Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 35/35
Waitlist 0"
LSTU-L 390,STAFFING AS A SAFETY ISSUE (TOPICS IN LABOR STUDIES),1–3 credits,,Advanced courses in areas described under L290.,"Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 35/35
Waitlist 0"
LSTU-L 390,STRIKE! LABOR REVOLT IN AMERICA (TOPICS IN LABOR STUDIES),1–3 credits,,Advanced courses in areas described under L290.,"Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 35/35
Waitlist 0"
LSTU-L 390,FRAMED: LABOR IN THE MEDIA (TOPICS IN LABOR STUDIES),1–3 credits,,Advanced courses in areas described under L290.,"Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 35/35
Waitlist 0"
LSTU-L 390,CLASS AND LABOR IN POLITICS (TOPICS IN LABOR STUDIES),1–3 credits,,Advanced courses in areas described under L290.,"Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 35/35
Waitlist 0"
LSTU-L 390,ESSENTIAL WORKERS: PUBLIC HEALTH & LABOR (TOPICS IN LABOR STUDIES),1–3 credits,,Advanced courses in areas described under L290.,"Spring, Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Joseph Zanoni | 35/35
Waitlist 0"
LSTU-L 399,PRIOR LEARNING ASSESSMENTS,1–15 credits,,"Credit for labor-related competencies demonstrated, assessed and approved according to established procedures.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Marquita Walker | 10/10
Waitlist 0"
LSTU-L 420,LABOR STUDIES INTERNSHIP,1–6 credits,,Application of knowledge gained in the classroom in fieldwork experience.,"Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Staff | 5/5
Waitlist 0"
LSTU-L 480,SENIOR SEMINAR OR READINGS,3 credits,,"Designed as either a class room seminar or directed reading. This course addresses current issues, historical developments, and other labor related concerns. Topics may vary each semester.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Staff | 5/5
Waitlist 0"
LSTU-L 490,TOPICS IN LABOR STUDIES,1–3 credits,,"Advanced courses, including seminars, geared to specialized labor populations, issues, and areas of discipline.","Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Marquita Walker | 32/35
Waitlist 0"
LSTU-L 490,CLASS AND LABOR IN POLITICS (TOPICS IN LABOR STUDIES),1–3 credits,,"Advanced courses, including seminars, geared to specialized labor populations, issues, and areas of discipline.","Summer, Fall","Class #: Open | Eight Week - Second
10/20/2025–12/19/2025 | WB WEB | Marquita Walker | 32/35
Waitlist 0"
LSTU-L 495,DIRECTED LABOR STUDY,1–6 credits,,"A contract course to suit the special and varied needs and interests of individual students. The contract with the faculty member might include reading, directed application of prior course work, tutorials, or internships. Competencies assessed through written papers, projects, reports, or interviews.","Spring, Summer, Fall","Class #: Open | Regular Academic Session
8/25/2025–12/19/2025 |  | Staff | 5/5
Waitlist 0"
LTAM-C 101,ELEMENTARY HAITIAN CREOLE I,4 credits,IUB GenEd World Language class (113),"Introduction to Haitian Creole, the vernacular language of Haiti spoken by over nine million people; conversational drills, grammatical explanations and exercises; listening comprehension training; aspects of Haitian culture.",Fall,"Class #: Open | MW
Monday, Wednesday
4:20 PM–5:50 PM
Regular Academic Session
8/25/2025–12/19/2025 | AD A152 | Staff | 8/20
Waitlist 0
Class #: Open | MW
Monday, Wednesday
4:20 PM–5:50 PM
Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Staff | 10/10
Waitlist 0"
LTAM-C 201,INTERMEDIATE HAITIAN CREOLE I,3 credits,IUB GenEd World Language class (113),Builds on skills acquired in LTAM-C 102 with the aim of improving conversational fluency and the ability to read nonspecialized texts.,Fall,"Class #: Open | MW
Monday, Wednesday
6:10 PM–7:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | BH 216 | Staff | 20/24
Waitlist 0
Class #: Open | MW
Monday, Wednesday
6:10 PM–7:25 PM
Regular Academic Session
8/25/2025–12/19/2025 | WB WEB | Staff | 5/5
Waitlist 0"
